Contrato;ProcessoContrato;AssinaturaContrato;ObjetoContrato;FavorecidoContrato;CPF/CNPJContrato;SituaçãoContrato;ValorContrato
000153/2020;003294/2020;29/10/2020;Contratacao de empresa para prestacao de servico de troca de lonas com reparo e instalacao de capotas completas, para utilizacao na Secretaria de Educacao e na EMEF Paulo Pereira Gomes, evitando assim uso de cortinas, o que permitira no periodo de pandemi;A. P. de Oliveira Toldos e Coberturas;09.651.042/0001-67;Vigente;16520
000152/2020;004608/2019;29/10/2020;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEL OBJETIVANDO ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;Vigente;7260
000151/2020;003707/2019;27/10/2020;AQUISICAO DE MOBILIARIO, EQUIPAMENTOS ELETRODOMESTICOS E DE INFORMATICA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;Top One Thousand Comercio Eireli EPP;24.207.900/0001-72;Vigente;1865
000150/2020;006067/2019;26/10/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS COM FORNECIMENTO DE PECAS EM GERAL E SERVICOS DESERTOS OU FRACASSADOS NAS LICITACOES ANTERIORES, VISANDO ASSIM A MANUTENCAO E A CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNIC;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;12100
000149/2020;003178/2019;26/10/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;Vigente;15565,4
000148/2020;006067/2019;21/10/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS COM FORNECIMENTO DE PECAS EM GERAL E SERVICOS DESERTOS OU FRACASSADOS NAS LICITACOES ANTERIORES, VISANDO ASSIM A MANUTENCAO E A CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNIC;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;60000
000147/2020;000637/2020;21/10/2020;CONTRATACAO DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS DE LAVAGEM E LUBRIFICACAO DE VEICULOS E MAQUINAS DA FROTA DESTA PREFEITURA MUNICIPAL;L.C. De Oliveira Simoes - Me;10.564.955/0001-25;Vigente;2678
000146/2020;002080/2020;15/10/2020;AQUISICAO DE FRALDAS DESCARTAVEIS DE TAMANHOS DIVERSOS PARA REPOSICAO DO ESTOQUE DAS SECRETARIAS, GARANTINDO A MANUTENCAO DOS SERVICOS REGIDOS POR LEI AOS MUNICIPES;F V P Coelho;26.294.192/0001-80;Vigente;137700
000145/2020;002481/2020;15/10/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA EXECUCAO DE OBRA DE REDE DE ESGOTAMENTO SANITARIO E ESTACAO ELEVATORIA DE ESGOTO NO BAIRRO SANTA CLARA, LOCALIZADO NO MUNICIPIO DE JERONIMO MONTEIRO.;Construfort Construtora Ltda;27.057.109/0001-11;Vigente;138207,39
000144/2020;002480/2020;15/10/2020;CONTRATACAO DE EMPRESA PARA REFORMA DA PRACA PREFEITO ANTONIO ALVES DUARTE, LOCALIZADA NA AV. DR. JOSE FARAH, CENTRO , NO MUNICIPIO DE JERONIMO MONTEIRO-ES.;Construfort Construtora Ltda;27.057.109/0001-11;Vigente;149484,35
