NúmeroDispensa;ModalidadeDispensa;ProcessoDispensa;AberturaDispensa;ObjetoDispensa;Base LegalDispensa;SituaçãoDispensa;ValorDispensa
000239/2019;Dispensa;006139/2019;30/12/2019;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4125, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1805
000226/2019;Dispensa;005751/2019;14/01/2020;Contratacao de empresa para realizacao de servicos de afericao em tacografo nos veiculos destinados ao transporte escolar para o exercicio de 2020.;Dispensa, Artigo 24, Inciso II;Concluida;3823,04
000225/2019;Dispensa;005752/2019;16/01/2020;Contratacao de empresa para realizacao de servicos de vistoria mecanica destinados ao transporte escolar para o exercicio de 2020.;Dispensa, Artigo 24, Inciso II;Concluida;5698
000223/2019;Dispensa;005559/2019;23/12/2019;Contratacao de empresa para ministrar curso de treinamento de Seguranca no Trabalho para os servidores que desempenham atividades na coleta de residuos solidos (lixo), com duracao de no minimo 06 seis horas, conforme 4ª clausula do Termo de Ajuste de Conduta, firmado entre a PMJM e o Ministerio Publico do Trabalho.;artigo 24, inciso II;Concluida;1120
000213/2019;Dispensa;004885/2019;11/12/2019;Aquisicao de um Smartphone visando atender a demanda da Assessoria de Comunicacao, para registros de Atos Oficiais da Prefeitura de Jeronimo Monteiro.;artigo 24, inciso II;Concluida;2375
000173/2019;Dispensa;003304/2019;07/01/2020;Aquisicao de materiais, incluindo instalacao dos mesmos, sendo camaras de purificacao, pressurizador e micro ventilador, para substituicao nos bebedores e purificadores de agua das escolas de educacao infantil e fundamental, bem como da Secretaria de Educacao, Secretaria de Administracao e Secretaria de Assistencia Social deste Municipio.;Dispensa, Artigo 24, Inciso II;Concluida;8175
000098/2020;Dispensa;003294/2020;27/10/2020;Contratacao de empresa para prestacao de servico de troca de lonas com reparo e instalacao de capotas completas, para utilizacao na Secretaria de Educacao e na EMEF Paulo Pereira Gomes, evitando assim uso de cortinas, o que permitira no periodo de pandemia que as janelas fique abertas, garantindo a circulacao de ar nesses ambientes .;Lei Federal nº 14.065/2020, Art 1º, Inciso I;Concluida;16520
000097/2020;Dispensa;003706/2020;22/10/2020;Aquisicao de marmitex para serem fornecidas aos profissionais da Secretaria de Saude que estarao atuando na campanha de vacinacao anti-rabica, a ser realizada no dia 24 de outubro de 2020, neste municipio.;Dispensa, Artigo 24, Inciso II;Concluida;525
000092/2020;Dispensa;003364/2020;01/10/2020;Contratacao de empresa para prestacao de servico de revisao de 30.000 km com troca de pecas, no veiculo GM Montana Marimar Ambulancia, ano 2019, placa QRH-7G54, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1665
000091/2020;Dispensa;003414/2020;30/09/2020;Contratacao de empresa para prestacao de servico de revisao de 30.000 km com troca de peca no veiculo Citroen Air Cross Start, ano-modelo 2017-18, placa OYK-7796, pertencente a Secretaria de Assistencia Social.;Dispensa, Artigo 24, Inciso XVII;Concluida;1103,47
